TITLE = vY-vT
Variables = "x [m]", "y [m]","Residuals [K]"
ZONE, i= 24, j= 24, f=point, STRANDID=  1,SOLUTIONTIME=  2.000000E-02
  8.750000E-02   5.250000E-02   3.000020E+02
  8.750000E-02   5.750000E-02   2.999919E+02
  8.750000E-02   6.250000E-02   2.999960E+02
  8.750000E-02   6.750000E-02   2.999814E+02
  8.750000E-02   7.250000E-02   2.999887E+02
  8.750000E-02   7.750000E-02   2.999843E+02
  8.750000E-02   8.250000E-02   3.000135E+02
  8.750000E-02   8.750000E-02   2.999742E+02
  8.750000E-02   9.250000E-02   3.000012E+02
  8.750000E-02   9.750000E-02   3.000001E+02
  8.750000E-02   1.025000E-01   3.000011E+02
  8.750000E-02   1.075000E-01   3.000081E+02
  8.750000E-02   1.125000E-01   2.999929E+02
  8.750000E-02   1.175000E-01   3.000034E+02
  9.250000E-02   2.500000E-03   2.999962E+02
  9.250000E-02   7.500000E-03   3.000034E+02
  9.250000E-02   1.250000E-02   2.999908E+02
  9.250000E-02   1.750000E-02   3.000138E+02
  9.250000E-02   2.250000E-02   2.999942E+02
  9.250000E-02   2.750000E-02   3.000103E+02
  9.250000E-02   3.250000E-02   2.999903E+02
  9.250000E-02   3.750000E-02   2.999953E+02
  9.250000E-02   4.250000E-02   2.999907E+02
  9.250000E-02   4.750000E-02   3.000129E+02
  9.250000E-02   5.250000E-02   3.000257E+02
  9.250000E-02   5.750000E-02   2.999897E+02
  9.250000E-02   6.250000E-02   2.999973E+02
  9.250000E-02   6.750000E-02   2.999923E+02
  9.250000E-02   7.250000E-02   3.000098E+02
  9.250000E-02   7.750000E-02   3.000060E+02
  9.250000E-02   8.250000E-02   3.000158E+02
  9.250000E-02   8.750000E-02   3.000038E+02
  9.250000E-02   9.250000E-02   2.999983E+02
  9.250000E-02   9.750000E-02   3.000070E+02
  9.250000E-02   1.025000E-01   2.999799E+02
  9.250000E-02   1.075000E-01   3.000101E+02
  9.250000E-02   1.125000E-01   3.000004E+02
  9.250000E-02   1.175000E-01   2.999631E+02
  9.750000E-02   2.500000E-03   3.000126E+02
  9.750000E-02   7.500000E-03   3.000022E+02
  9.750000E-02   1.250000E-02   2.999936E+02
  9.750000E-02   1.750000E-02   3.000051E+02
  9.750000E-02   2.250000E-02   3.000058E+02
  9.750000E-02   2.750000E-02   2.999931E+02
  9.750000E-02   3.250000E-02   3.000149E+02
  9.750000E-02   3.750000E-02   3.000044E+02
  9.750000E-02   4.250000E-02   2.999971E+02
  9.750000E-02   4.750000E-02   3.000122E+02
  9.750000E-02   5.250000E-02   3.000120E+02
  9.750000E-02   5.750000E-02   2.999858E+02
  9.750000E-02   6.250000E-02   2.999822E+02
  9.750000E-02   6.750000E-02   2.999822E+02
  9.750000E-02   7.250000E-02   3.000094E+02
  9.750000E-02   7.750000E-02   2.999944E+02
  9.750000E-02   8.250000E-02   2.999908E+02
  9.750000E-02   8.750000E-02   3.000030E+02
  9.750000E-02   9.250000E-02   2.999790E+02
  9.750000E-02   9.750000E-02   2.999969E+02
  9.750000E-02   1.025000E-01   3.000016E+02
  9.750000E-02   1.075000E-01   2.999929E+02
  9.750000E-02   1.125000E-01   2.999918E+02
  9.750000E-02   1.175000E-01   2.999859E+02
  1.025000E-01   2.500000E-03   2.999997E+02
  1.025000E-01   7.500000E-03   3.000005E+02
  1.025000E-01   1.250000E-02   2.999877E+02
  1.025000E-01   1.750000E-02   3.000146E+02
  1.025000E-01   2.250000E-02   3.000034E+02
  1.025000E-01   2.750000E-02   3.000176E+02
  1.025000E-01   3.250000E-02   3.000013E+02
  1.025000E-01   3.750000E-02   3.000110E+02
  1.025000E-01   4.250000E-02   2.999875E+02
  1.025000E-01   4.750000E-02   2.999980E+02
  1.025000E-01   5.250000E-02   3.000076E+02
  1.025000E-01   5.750000E-02   3.000037E+02
  1.025000E-01   6.250000E-02   3.000107E+02
  1.025000E-01   6.750000E-02   3.000009E+02
  1.025000E-01   7.250000E-02   2.999824E+02
  1.025000E-01   7.750000E-02   3.000076E+02
  1.025000E-01   8.250000E-02   3.000151E+02
  1.025000E-01   8.750000E-02   3.954804E-03
  1.025000E-01   9.250000E-02   2.999860E+02
  1.025000E-01   9.750000E-02   3.000118E+02
  1.025000E-01   1.025000E-01   2.999999E+02
  1.025000E-01   1.075000E-01   3.000035E+02
  1.025000E-01   1.125000E-01   3.000019E+02
  1.025000E-01   1.175000E-01   2.999951E+02
  1.075000E-01   2.500000E-03   3.000070E+02
  1.075000E-01   7.500000E-03   2.999879E+02
  1.075000E-01   1.250000E-02   2.999875E+02
  1.075000E-01   1.750000E-02   3.000053E+02
  1.075000E-01   2.250000E-02   2.999919E+02
  1.075000E-01   2.750000E-02   3.000083E+02
  1.075000E-01   3.250000E-02   3.000108E+02
  1.075000E-01   3.750000E-02   2.999969E+02
  1.075000E-01   4.250000E-02   2.999978E+02
  1.075000E-01   4.750000E-02   3.000056E+02
  1.075000E-01   5.250000E-02   2.999945E+02
  1.075000E-01   5.750000E-02   3.000179E+02
  1.075000E-01   6.250000E-02   2.999943E+02
  1.075000E-01   6.750000E-02   2.999982E+02
  1.075000E-01   7.250000E-02   2.999952E+02
  1.075000E-01   7.750000E-02   3.000084E+02
  1.075000E-01   8.250000E-02   2.999865E+02
  1.075000E-01   8.750000E-02   2.999855E+02
  1.075000E-01   9.250000E-02   3.000033E+02
  1.075000E-01   9.750000E-02   3.000034E+02
  1.075000E-01   1.025000E-01   3.000103E+02
  1.075000E-01   1.075000E-01   3.000221E+02
  1.075000E-01   1.125000E-01   3.000036E+02
  1.075000E-01   1.175000E-01   3.000134E+02
  1.125000E-01   2.500000E-03   3.000031E+02
  1.125000E-01   7.500000E-03   2.999999E+02
  1.125000E-01   1.250000E-02   3.000112E+02
  1.125000E-01   1.750000E-02   2.999883E+02
  1.125000E-01   2.250000E-02   3.000002E+02
  1.125000E-01   2.750000E-02   3.000111E+02
  1.125000E-01   3.250000E-02   2.999937E+02
  1.125000E-01   3.750000E-02   2.999959E+02
